depth_mm,age_AD,d18O,z_d18O,d13C,z_d13C
278.4,550.2,-4.32,-1.605,-10.06,-2.260
278.3,550.8,-4.41,-1.858,-10.25,-2.493
278.2,551.6,-4.38,-1.774,-10.21,-2.444
278.1,552.5,-4.2,-1.268,-10.02,-2.210
278.0,553.3,-4.29,-1.521,-10.04,-2.235
277.9,554.1,-4.14,-1.099,-9.71,-1.830
277.8,554.8,-4.06,-0.874,-9.34,-1.376
277.7,555.6,-4.07,-0.902,-9.27,-1.290
277.6,556.2,-3.98,-0.649,-8.89,-0.824
277.5,556.9,-3.88,-0.368,-8.78,-0.689
277.4,557.6,-3.83,-0.228,-8.57,-0.431
277.3,558.4,-3.72,0.081,-8.52,-0.370
277.2,559.1,-3.74,0.025,-8.4,-0.223
277.1,559.8,-3.58,0.475,-8.24,-0.026
277.0,560.5,-3.62,0.362,-8.54,-0.394
276.9,561.2,-3.63,0.334,-8.45,-0.284
276.8,562.0,-3.38,1.037,-8.52,-0.370
276.7,562.8,-3.76,-0.031,-9.06,-1.032
276.6,563.5,-3.72,0.081,-9.16,-1.155
276.5,564.3,-3.72,0.081,-8.92,-0.861
276.4,565.0,-3.54,0.587,-8.6,-0.468
276.3,565.7,-3.69,0.166,-8.64,-0.517
276.2,566.5,-3.68,0.194,-8.37,-0.186
276.1,567.2,-3.61,0.391,-8.14,0.096
276.0,567.9,-3.5,0.700,-7.81,0.501
275.9,568.5,-3.73,0.053,-7.95,0.330
275.8,569.2,-3.8,-0.143,-7.9,0.391
275.7,569.8,-3.73,0.053,-7.96,0.317
275.6,570.5,-4.14,-1.099,-8.07,0.182
275.5,571.1,-3.83,-0.228,-8.51,-0.358
275.4,571.7,-4.02,-0.762,-8.66,-0.542
275.3,572.3,-3.83,-0.228,-8.53,-0.382
275.2,572.9,-3.87,-0.340,-8.71,-0.603
275.1,573.5,-3.98,-0.649,-8.83,-0.750
275.0,574.1,-3.97,-0.621,-8.88,-0.812
274.9,574.7,-4.03,-0.790,-8.9,-0.836
274.8,575.3,-3.97,-0.621,-8.69,-0.578
274.7,575.8,-4.25,-1.408,-8.69,-0.578
274.6,576.4,-4.19,-1.240,-8.67,-0.554
274.5,576.9,-4.08,-0.930,-8.66,-0.542
274.4,577.5,-4.2,-1.268,-8.77,-0.677
274.3,578.0,-4.16,-1.155,-8.74,-0.640
274.2,578.6,-4.13,-1.071,-8.74,-0.640
274.1,579.1,-4.17,-1.183,-8.73,-0.628
274.0,579.7,-4.22,-1.324,-8.73,-0.628
273.9,580.2,-4.2,-1.268,-8.81,-0.726
273.8,580.7,-4.31,-1.577,-8.8,-0.713
273.7,581.3,-4.5,-2.111,-8.93,-0.873
273.6,581.8,-4.33,-1.633,-8.94,-0.885
273.5,582.3,-4.37,-1.745,-8.96,-0.910
273.4,582.9,-4.45,-1.970,-9.2,-1.204
273.3,583.4,-4.57,-2.308,-9.37,-1.413
273.2,584.0,-4.41,-1.858,-9.44,-1.499
273.1,584.5,-4.52,-2.167,-9.42,-1.474
273.0,585.1,-4.35,-1.689,-9.36,-1.401
272.9,585.6,-4.5,-2.111,-9.41,-1.462
272.8,586.2,-4.5,-2.111,-9.42,-1.474
272.7,586.7,-4.49,-2.083,-9.4,-1.450
272.6,587.2,-4.59,-2.364,-9.44,-1.499
272.5,587.8,-4.61,-2.420,-9.46,-1.523
272.4,588.3,-4.38,-1.774,-9.33,-1.364
272.3,588.8,-4.26,-1.436,-9.26,-1.278
272.2,589.3,-4.37,-1.745,-9.28,-1.302
272.1,589.8,-4.16,-1.155,-9.17,-1.167
272.0,590.3,-4.12,-1.043,-9.33,-1.364
271.9,590.8,-4.3,-1.549,-9.41,-1.462
271.8,591.2,-4.23,-1.352,-9.27,-1.290
271.7,591.7,-4.28,-1.493,-9.26,-1.278
271.6,592.1,-4.17,-1.183,-9.14,-1.131
271.5,592.6,-3.97,-0.621,-8.9,-0.836
271.4,593.0,-4.09,-0.959,-8.83,-0.750
271.3,593.5,-3.96,-0.593,-8.54,-0.394
271.2,593.9,-3.8,-0.143,-8.46,-0.296
271.1,594.4,-3.74,0.025,-8.34,-0.149
271.0,594.7,-3.93,-0.509,-8.57,-0.431
270.9,595.1,-3.68,0.194,-8.41,-0.235
270.8,595.6,-3.91,-0.453,-8.42,-0.247
270.7,596.0,-4.03,-0.790,-8.42,-0.247
270.6,596.5,-3.93,-0.509,-8.15,0.084
270.5,596.9,-3.78,-0.087,-8.28,-0.075
270.4,597.4,-3.77,-0.059,-8.23,-0.014
270.3,597.9,-3.62,0.362,-7.91,0.379
270.2,598.4,-3.84,-0.256,-7.97,0.305
270.1,598.9,-3.67,0.222,-7.68,0.661
270.0,599.4,-3.73,0.053,-7.75,0.575
269.9,599.8,-3.68,0.194,-7.63,0.722
269.8,600.3,-3.7,0.138,-7.32,1.103
269.7,600.7,-3.58,0.475,-7.22,1.225
269.6,601.2,-3.71,0.110,-7.21,1.238
269.5,601.6,-3.53,0.615,-7.03,1.458
269.4,602.0,-3.6,0.419,-7.13,1.336
269.3,602.4,-3.74,0.025,-7.39,1.017
269.2,602.7,-3.55,0.559,-7.36,1.054
269.1,603.0,-3.6,0.419,-7.47,0.919
269.0,603.4,-3.61,0.391,-7.49,0.894
268.9,603.8,-3.47,0.784,-7.66,0.685
268.8,604.2,-3.37,1.065,-7.71,0.624
268.7,604.6,-3.3,1.262,-7.88,0.415
268.6,605.0,-3.42,0.925,-8.01,0.256
268.5,605.5,-3.43,0.896,-8.12,0.121
268.4,606.0,-3.47,0.784,-8.22,-0.002
268.3,606.5,-3.65,0.278,-8.24,-0.026
268.2,606.8,-3.5,0.700,-8.26,-0.051
268.1,607.2,-3.63,0.334,-8.26,-0.051
268.0,607.6,-3.74,0.025,-8.45,-0.284
267.9,608.0,-3.72,0.081,-8.49,-0.333
267.8,608.3,-3.93,-0.509,-8.41,-0.235
267.7,608.6,-3.83,-0.228,-8.63,-0.505
267.6,609.0,-3.95,-0.565,-8.71,-0.603
267.5,609.3,-4.15,-1.127,-8.92,-0.861
267.4,609.7,-4.02,-0.762,-9.0,-0.959
267.3,610.1,-4.34,-1.661,-9.45,-1.511
267.2,610.5,-4.39,-1.802,-9.53,-1.609
267.1,610.8,-4.34,-1.661,-9.52,-1.597
267.0,611.2,-4.25,-1.408,-9.56,-1.646
266.9,611.5,-4.47,-2.027,-9.61,-1.707
266.8,611.9,-4.48,-2.055,-9.62,-1.720
266.7,612.3,-4.45,-1.970,-9.44,-1.499
266.6,612.7,-4.32,-1.605,-9.34,-1.376
266.5,613.1,-4.51,-2.139,-9.31,-1.339
266.4,613.6,-4.75,-2.813,-9.35,-1.388
266.3,614.0,-4.65,-2.532,-9.23,-1.241
266.2,614.5,-4.56,-2.279,-9.02,-0.983
266.1,615.0,-4.51,-2.139,-9.13,-1.118
266.0,615.4,-4.33,-1.633,-9.07,-1.045
265.9,615.9,-4.4,-1.830,-9.09,-1.069
265.8,616.3,-4.55,-2.251,-9.15,-1.143
265.7,616.7,-4.57,-2.308,-9.49,-1.560
265.6,617.1,-4.56,-2.279,-9.49,-1.560
265.5,617.6,-4.37,-1.745,-9.41,-1.462
265.4,618.0,-4.47,-2.027,-9.48,-1.548
265.3,618.2,-4.41,-1.858,-9.43,-1.486
265.2,618.6,-4.54,-2.223,-9.1,-1.082
265.1,618.9,-4.63,-2.476,-9.61,-1.707
265.0,619.2,-4.79,-2.926,-9.56,-1.646
264.9,619.6,-4.73,-2.757,-9.69,-1.805
264.8,620.0,-4.56,-2.279,-9.6,-1.695
264.7,620.4,-4.62,-2.448,-9.8,-1.940
264.6,620.8,-4.84,-3.066,-9.96,-2.137
264.5,621.2,-4.63,-2.476,-9.7,-1.818
264.4,621.6,-4.76,-2.842,-10.11,-2.321
264.3,622.0,-4.67,-2.589,-9.98,-2.161
264.2,622.5,-4.57,-2.308,-9.97,-2.149
264.1,622.9,-4.63,-2.476,-10.03,-2.223
264.0,623.3,-4.39,-1.802,-9.98,-2.161
263.9,623.7,-4.52,-2.167,-10.14,-2.358
263.8,624.0,-4.3,-1.549,-9.88,-2.039
263.7,624.3,-4.28,-1.493,-9.79,-1.928
263.6,624.7,-4.15,-1.127,-9.69,-1.805
263.5,625.1,-4.29,-1.521,-9.74,-1.867
263.4,625.5,-4.3,-1.549,-9.57,-1.658
263.3,625.9,-4.3,-1.549,-9.35,-1.388
263.2,626.2,-4.51,-2.139,-9.61,-1.707
263.1,626.6,-4.67,-2.589,-9.56,-1.646
263.0,627.0,-4.81,-2.982,-9.54,-1.621
262.9,627.4,-4.71,-2.701,-9.43,-1.486
262.8,627.9,-4.87,-3.151,-9.36,-1.401
262.7,628.3,-4.75,-2.813,-9.31,-1.339
262.6,628.7,-4.81,-2.982,-9.37,-1.413
262.5,629.1,-4.77,-2.870,-9.3,-1.327
262.4,629.5,-4.77,-2.870,-9.62,-1.720
262.3,629.9,-4.6,-2.392,-9.49,-1.560
262.2,630.2,-4.58,-2.336,-9.88,-2.039
262.1,630.6,-4.56,-2.279,-10.01,-2.198
262.0,631.0,-4.52,-2.167,-10.13,-2.345
261.9,631.4,-4.52,-2.167,-9.97,-2.149
261.8,631.7,-4.16,-1.155,-9.77,-1.904
261.7,632.1,-4.22,-1.324,-9.74,-1.867
261.6,632.5,-4.21,-1.296,-9.66,-1.769
261.5,632.9,-4.19,-1.240,-9.71,-1.830
261.4,633.3,-4.26,-1.436,-9.64,-1.744
261.3,633.7,-4.06,-0.874,-9.46,-1.523
261.2,634.1,-4.08,-0.930,-9.36,-1.401
261.1,634.5,-4.01,-0.734,-9.19,-1.192
261.0,634.9,-4.07,-0.902,-9.25,-1.266
260.9,635.3,-4.12,-1.043,-9.21,-1.217
260.8,635.7,-4.04,-0.818,-8.88,-0.812
260.7,636.1,-3.91,-0.453,-8.72,-0.615
260.6,636.5,-4.19,-1.240,-8.97,-0.922
260.5,637.0,-4.33,-1.633,-8.97,-0.922
260.4,637.4,-4.31,-1.577,-8.81,-0.726
260.3,637.9,-4.22,-1.324,-8.77,-0.677
260.2,638.3,-4.39,-1.802,-8.74,-0.640
260.1,638.8,-4.15,-1.127,-8.6,-0.468
260.0,639.2,-4.36,-1.717,-8.59,-0.456
259.9,639.6,-4.31,-1.577,-8.47,-0.308
259.8,640.0,-4.19,-1.240,-8.35,-0.161
259.7,640.4,-4.11,-1.015,-8.34,-0.149
259.6,640.8,-4.31,-1.577,-8.37,-0.186
259.5,641.2,-3.92,-0.481,-8.21,0.011
259.4,641.6,-4.06,-0.874,-8.18,0.047
259.3,641.9,-4.0,-0.706,-8.23,-0.014
259.2,642.3,-4.12,-1.043,-8.19,0.035
259.1,642.7,-4.0,-0.706,-8.13,0.109
259.0,643.0,-4.13,-1.071,-8.21,0.011
258.9,643.4,-4.35,-1.689,-8.61,-0.480
258.8,643.7,-4.21,-1.296,-8.46,-0.296
258.7,644.1,-4.31,-1.577,-8.47,-0.308
258.6,644.5,-4.54,-2.223,-8.61,-0.480
258.5,644.8,-4.48,-2.055,-8.99,-0.947
258.4,645.2,-4.47,-2.027,-8.54,-0.394
258.3,645.6,-4.47,-2.027,-8.46,-0.296
258.2,645.9,-4.09,-0.959,-8.44,-0.272
258.1,646.3,-4.3,-1.549,-8.74,-0.640
258.0,646.7,-4.7,-2.673,-8.78,-0.689
257.9,647.1,-4.73,-2.757,-8.63,-0.505
257.8,647.4,-4.6,-2.392,-8.61,-0.480
257.7,647.7,-4.65,-2.532,-8.71,-0.603
257.6,648.1,-4.63,-2.476,-8.8,-0.713
257.5,648.5,-4.47,-2.027,-8.68,-0.566
257.4,648.9,-4.81,-2.982,-8.82,-0.738
257.3,649.3,-4.79,-2.926,-8.71,-0.603
257.2,649.7,-4.81,-2.982,-9.03,-0.996
257.1,650.1,-4.77,-2.870,-8.97,-0.922
257.0,650.5,-5.04,-3.629,-9.07,-1.045
256.9,650.9,-4.86,-3.123,-9.24,-1.253
256.8,651.3,-4.74,-2.785,-9.34,-1.376
256.7,651.7,-4.54,-2.223,-9.35,-1.388
256.6,652.1,-4.74,-2.785,-9.4,-1.450
256.5,652.5,-4.72,-2.729,-9.56,-1.646
256.4,652.9,-4.76,-2.842,-9.35,-1.388
256.3,653.3,-4.74,-2.785,-9.45,-1.511
256.2,653.7,-4.73,-2.757,-9.59,-1.683
256.1,654.1,-4.78,-2.898,-9.71,-1.830
256.0,654.5,-4.79,-2.926,-9.71,-1.830
255.9,654.9,-4.72,-2.729,-9.66,-1.769
255.8,655.3,-4.74,-2.785,-9.78,-1.916
255.7,655.7,-4.55,-2.251,-9.65,-1.756
255.6,656.1,-4.48,-2.055,-9.53,-1.609
255.5,656.5,-4.34,-1.661,-9.43,-1.486
255.4,656.9,-4.39,-1.802,-9.38,-1.425
255.3,657.4,-4.23,-1.352,-9.06,-1.032
255.2,657.8,-4.26,-1.436,-9.11,-1.094
255.1,658.2,-4.26,-1.436,-9.23,-1.241
255.0,658.7,-4.07,-0.902,-9.19,-1.192
254.9,659.1,-4.12,-1.043,-9.2,-1.204
254.8,659.6,-3.99,-0.677,-9.01,-0.971
254.7,660.0,-3.9,-0.424,-9.07,-1.045
254.6,660.4,-4.03,-0.790,-9.14,-1.131
254.5,660.9,-4.0,-0.706,-8.95,-0.897
254.4,661.3,-3.95,-0.565,-9.02,-0.983
254.3,661.7,-3.93,-0.509,-8.91,-0.848
254.2,662.1,-3.9,-0.424,-8.92,-0.861
254.1,662.4,-3.95,-0.565,-8.9,-0.836
254.0,662.8,-4.07,-0.902,-8.82,-0.738
253.9,663.1,-4.09,-0.959,-8.89,-0.824
253.8,663.5,-3.99,-0.677,-8.7,-0.591
253.7,663.9,-4.04,-0.818,-8.76,-0.664
253.6,664.3,-4.12,-1.043,-8.85,-0.775
253.5,664.7,-3.73,0.053,-8.65,-0.529
253.4,665.1,-3.96,-0.593,-8.84,-0.762
253.3,665.6,-3.91,-0.453,-8.75,-0.652
253.2,666.1,-3.83,-0.228,-8.78,-0.689
253.1,666.6,-3.96,-0.593,-8.71,-0.603
253.0,667.1,-3.71,0.110,-8.56,-0.419
252.9,667.5,-3.78,-0.087,-8.64,-0.517
252.8,667.9,-3.91,-0.453,-8.68,-0.566
252.7,668.3,-3.75,-0.003,-8.55,-0.407
252.6,668.7,-3.68,0.194,-8.75,-0.652
252.5,669.1,-3.71,0.110,-8.58,-0.443
252.4,669.5,-3.66,0.250,-8.68,-0.566
252.3,669.9,-3.81,-0.172,-8.85,-0.775
252.2,670.3,-3.64,0.306,-8.8,-0.713
252.1,670.7,-3.78,-0.087,-8.93,-0.873
252.0,671.1,-3.78,-0.087,-8.87,-0.799
251.9,671.5,-3.72,0.081,-8.74,-0.640
251.8,671.9,-3.83,-0.228,-8.74,-0.640
251.7,672.3,-4.06,-0.874,-8.92,-0.861
251.6,672.8,-3.89,-0.396,-8.62,-0.493
251.5,673.3,-3.95,-0.565,-8.88,-0.812
251.4,673.9,-3.9,-0.424,-8.72,-0.615
251.3,674.4,-3.91,-0.453,-8.83,-0.750
251.2,674.8,-3.91,-0.453,-8.86,-0.787
251.1,675.5,-3.93,-0.509,-8.65,-0.529
251.0,676.1,-3.95,-0.565,-8.8,-0.713
250.9,676.7,-4.17,-1.183,-8.82,-0.738
250.8,677.2,-3.98,-0.649,-8.67,-0.554
250.7,677.7,-4.06,-0.874,-8.69,-0.578
250.6,678.3,-3.95,-0.565,-8.41,-0.235
250.5,678.9,-4.04,-0.818,-8.59,-0.456
250.4,679.5,-4.09,-0.959,-8.57,-0.431
250.3,680.0,-4.09,-0.959,-8.58,-0.443
250.2,680.5,-4.07,-0.902,-8.44,-0.272
250.1,680.9,-4.15,-1.127,-8.48,-0.321
250.0,681.4,-4.36,-1.717,-8.67,-0.554
249.9,681.9,-4.43,-1.914,-8.64,-0.517
249.8,682.6,-4.29,-1.521,-8.72,-0.615
249.7,683.1,-4.16,-1.155,-8.63,-0.505
249.6,683.6,-4.37,-1.745,-8.84,-0.762
249.5,683.9,-4.0,-0.706,-8.71,-0.603
249.4,684.5,-4.36,-1.717,-8.94,-0.885
249.3,685.0,-4.13,-1.071,-8.63,-0.505
249.2,685.5,-4.29,-1.521,-9.1,-1.082
249.1,686.1,-4.32,-1.605,-9.37,-1.413
249.0,686.8,-4.24,-1.380,-9.22,-1.229
248.9,687.6,-4.43,-1.914,-9.47,-1.536
248.8,687.9,-4.43,-1.914,-9.51,-1.585
248.7,688.4,-4.27,-1.464,-9.29,-1.315
248.6,689.1,-4.39,-1.802,-9.29,-1.315
248.5,689.4,-4.43,-1.914,-9.08,-1.057
248.4,690.0,-4.3,-1.549,-9.4,-1.450
248.3,690.6,-4.51,-2.139,-9.45,-1.511
248.2,691.1,-4.26,-1.436,-9.52,-1.597
248.1,691.8,-4.6,-2.392,-9.68,-1.793
248.0,692.3,-4.4,-1.830,-9.41,-1.462
247.9,692.7,-4.18,-1.211,-9.44,-1.499
247.8,693.2,-4.4,-1.830,-9.3,-1.327
247.7,693.7,-4.46,-1.998,-9.27,-1.290
247.6,694.1,-4.57,-2.308,-9.1,-1.082
247.5,694.5,-4.43,-1.914,-8.88,-0.812
247.4,694.8,-4.6,-2.392,-8.84,-0.762
247.3,695.3,-4.33,-1.633,-8.77,-0.677
247.2,695.7,-4.28,-1.493,-8.57,-0.431
247.1,696.3,-3.99,-0.677,-8.48,-0.321
247.0,696.8,-4.18,-1.211,-8.72,-0.615
246.9,697.2,-4.12,-1.043,-8.72,-0.615
246.8,697.7,-3.97,-0.621,-8.6,-0.468
246.7,698.2,-4.08,-0.930,-8.75,-0.652
246.6,698.7,-4.02,-0.762,-8.7,-0.591
246.5,699.1,-4.06,-0.874,-8.81,-0.726
246.4,699.5,-4.01,-0.734,-8.75,-0.652
246.3,699.9,-4.17,-1.183,-8.69,-0.578
246.2,700.3,-4.32,-1.605,-8.8,-0.713
246.1,700.6,-4.21,-1.296,-8.64,-0.517
246.0,701.1,-4.09,-0.959,-8.77,-0.677
245.9,701.5,-3.86,-0.312,-8.71,-0.603
245.8,701.9,-3.97,-0.621,-8.63,-0.505
245.7,702.2,-3.91,-0.453,-8.61,-0.480
245.6,702.6,-3.93,-0.509,-8.33,-0.137
245.5,702.9,-4.25,-1.408,-8.41,-0.235
245.4,703.1,-4.09,-0.959,-8.45,-0.284
245.3,703.5,-4.26,-1.436,-8.74,-0.640
245.2,703.8,-4.07,-0.902,-8.69,-0.578
245.1,704.0,-3.98,-0.649,-9.02,-0.983
245.0,704.2,-4.08,-0.930,-8.95,-0.897
244.9,704.4,-4.09,-0.959,-9.03,-0.996
244.8,704.5,-4.52,-2.167,-9.22,-1.229
244.7,704.7,-4.38,-1.774,-8.97,-0.922
244.6,704.9,-4.36,-1.717,-9.05,-1.020
244.5,705.1,-4.64,-2.504,-9.17,-1.167
244.4,705.3,-4.5,-2.111,-8.93,-0.873
244.3,705.6,-4.5,-2.111,-8.84,-0.762
244.2,705.8,-4.37,-1.745,-8.77,-0.677
244.1,706.1,-4.54,-2.223,-8.74,-0.640
244.0,706.4,-4.49,-2.083,-8.75,-0.652
243.9,706.6,-4.22,-1.324,-8.4,-0.223
243.8,706.9,-4.27,-1.464,-8.46,-0.296
243.7,707.1,-4.1,-0.987,-8.12,0.121
243.6,707.5,-3.92,-0.481,-7.96,0.317
243.5,707.9,-3.81,-0.172,-7.75,0.575
243.4,708.1,-3.77,-0.059,-7.58,0.784
243.3,708.5,-3.9,-0.424,-7.13,1.336
243.2,709.0,-3.52,0.644,-7.15,1.311
243.1,709.3,-3.57,0.503,-7.07,1.409
243.0,709.7,-3.71,0.110,-7.05,1.434
242.9,709.9,-3.72,0.081,-7.13,1.336
242.8,710.3,-3.82,-0.200,-7.43,0.968
242.7,710.8,-3.73,0.053,-7.72,0.612
242.6,711.4,-3.8,-0.143,-8.05,0.207
242.5,711.8,-3.81,-0.172,-8.27,-0.063
242.4,712.1,-3.69,0.166,-8.17,0.060
242.3,712.4,-3.71,0.110,-8.21,0.011
242.2,712.9,-3.74,0.025,-8.18,0.047
242.1,713.4,-3.71,0.110,-8.25,-0.039
242.0,713.6,-3.66,0.250,-8.0,0.268
241.9,713.9,-3.81,-0.172,-8.32,-0.124
241.8,714.3,-3.82,-0.200,-8.34,-0.149
241.7,714.7,-3.83,-0.228,-8.42,-0.247
241.6,714.9,-3.93,-0.509,-8.49,-0.333
241.5,715.2,-4.06,-0.874,-8.63,-0.505
241.4,715.7,-3.86,-0.312,-8.4,-0.223
241.3,716.2,-3.95,-0.565,-8.61,-0.480
241.2,716.6,-3.91,-0.453,-8.63,-0.505
241.1,717.1,-3.94,-0.537,-8.7,-0.591
241.0,717.5,-3.73,0.053,-8.64,-0.517
240.9,718.0,-3.77,-0.059,-8.71,-0.603
240.8,718.3,-3.83,-0.228,-8.7,-0.591
240.7,718.8,-3.74,0.025,-8.55,-0.407
240.6,719.2,-3.88,-0.368,-8.55,-0.407
240.5,719.6,-3.82,-0.200,-8.39,-0.210
240.4,720.1,-3.99,-0.677,-8.6,-0.468
240.3,720.5,-3.81,-0.172,-8.35,-0.161
240.2,720.9,-4.05,-0.846,-8.49,-0.333
240.1,721.3,-4.0,-0.706,-8.54,-0.394
240.0,721.8,-4.14,-1.099,-8.63,-0.505
239.9,722.4,-4.13,-1.071,-8.61,-0.480
239.8,722.9,-4.06,-0.874,-8.65,-0.529
239.7,723.3,-4.05,-0.846,-8.4,-0.223
239.6,723.7,-3.94,-0.537,-8.34,-0.149
239.5,724.1,-4.13,-1.071,-8.46,-0.296
239.4,724.6,-4.2,-1.268,-8.56,-0.419
239.3,725.0,-4.11,-1.015,-8.36,-0.174
239.2,725.5,-4.07,-0.902,-8.44,-0.272
239.1,726.0,-3.97,-0.621,-8.44,-0.272
239.0,726.5,-4.01,-0.734,-8.42,-0.247
238.9,727.0,-3.81,-0.172,-8.26,-0.051
238.8,727.4,-3.7,0.138,-8.0,0.268
238.7,727.9,-3.7,0.138,-8.19,0.035
238.6,728.3,-3.66,0.250,-7.97,0.305
238.5,728.7,-3.64,0.306,-7.83,0.477
238.4,729.1,-3.72,0.081,-8.12,0.121
238.3,729.6,-3.75,-0.003,-8.44,-0.272
